2Theta,Intensity
17.69197,7346
17.72225,4223
17.75254,3020
17.78283,2640
17.81311,2113
17.8434,1714
17.87369,1307
17.90397,1122
17.93426,965
17.96455,837
17.99483,761
18.02512,765
18.05541,759
18.08569,653
18.11598,659
18.14627,671
18.17655,662
18.20684,658
18.23713,653
18.26741,712
18.2977,749
18.32799,702
18.35827,666
18.38856,639
18.41885,645
18.44913,610
18.47942,637
18.50971,671
18.53999,688
18.57028,723
18.60057,714
18.63085,757
18.66114,778
18.69143,741
18.72171,739
18.752,763
18.78229,813
18.81257,952
18.84286,1075
18.87315,1322
18.90343,1599
18.93372,1832
18.96401,1845
18.99429,1511
19.02458,1255
19.05487,1086
19.08515,885
19.11544,794
19.14573,697
19.17601,705
19.2063,667
19.23659,628
19.26687,582
19.29716,660
19.32745,608
19.35773,647
19.38802,669
19.41831,764
19.44859,807
19.47888,947
19.50917,1201
19.53945,1222
19.56974,1105
19.60003,1054
19.63031,1236
19.6606,1683
19.69089,1791
19.72117,1754
19.75146,1551
19.78175,1256
19.81203,1015
19.84232,859
19.87261,769
19.90289,694
19.93318,651
19.96347,620
19.99375,646
20.02404,622
20.05433,603
20.08461,595
20.1149,571
20.14519,563
20.17547,579
20.20576,561
20.23605,602
20.26633,605
20.29662,621
20.32691,555
20.35719,614
20.38748,597
20.41777,596
20.44805,625
20.47834,686
20.50863,653
20.53891,684
20.5692,752
20.59949,736
20.62977,780
20.66006,824
20.69035,913
20.72063,993
20.75092,1142
20.78121,1458
20.81149,1855
20.84178,2499
20.87207,3362
20.90235,4144
20.93264,4062
20.96293,3548
20.99321,2720
21.0235,1902
21.05379,1381
21.08407,1033
21.11436,917
21.14465,807
21.17493,797
21.20522,793
21.23551,870
21.26579,947
21.29608,1031
21.32637,1062
21.35665,1025
21.38694,1194
21.41723,1429
21.44751,1786
21.4778,1721
21.50809,1505
21.53837,1205
21.56866,993
21.59895,928
21.62923,981
21.65952,1282
21.68981,1888
21.72009,2496
21.75038,2497
21.78067,2034
21.81095,1485
21.84124,1044
21.87153,723
21.90181,678
21.9321,583
21.96239,523
21.99267,520
22.02296,590
22.05325,499
22.08353,543
22.11382,520
22.14411,553
22.17439,522
22.20468,480
22.23497,515
22.26525,521
22.29554,463
22.32583,476
22.35611,488
22.3864,494
22.41669,441
22.44697,491
22.47726,447
22.50755,452
22.53783,484
22.56812,432
22.59841,471
22.62869,473
22.65898,497
22.68926,502
22.71955,450
22.74984,471
22.78012,491
22.81041,511
22.8407,545
22.87098,575
22.90127,541
22.93156,618
22.96184,716
